Katakana	Hiragana	Romaji
ア	あ	a
イ	い	i
ウ	う	u
エ	え	e
オ	お	o
パ	ぱ	pa
ピ	ぴ	pi
プ	ぷ	pu
ペ	ぺ	pe
ポ	ぽ	po
タ	た	ta
チ	ち	ti
ツ	つ	tu
テ	て	te
ト	と	to
カ	か	ka
キ	き	ki
ク	く	ku
ケ	け	ke
コ	こ	ko
サ	さ	sa
シ	し	si
ス	す	su
セ	せ	se
ソ	そ	so
ハ	は	ha
ヒ	ひ	hi
フ	ふ	hu
ヘ	へ	he
ホ	ほ	ho
バ	ば	ba
ビ	び	bi
ブ	ぶ	bu
ベ	べ	be
ボ	ぼ	bo
ダ	だ	da
ヂ	ぢ	di
ヅ	づ	du
デ	ぢ	de
ド	づ	do
ガ	が	ga
ギ	ぎ	gi
グ	ぐ	gu
ゲ	げ	ge
ゴ	ご	go
ザ	ざ	za
ジ	じ	zi
ズ	ず	zu
ゼ	ぜ	ze
ゾ	ぞ	zo
マ	ま	ma
ミ	み	mi
ム	む	mu
メ	め	me
モ	も	mo
ナ	な	na
ニ	に	ni
ヌ	ぬ	nu
ネ	ね	ne
ノ	の	no
ラ	ら	ra
リ	り	ri
ル	る	ru
レ	れ	re
ロ	ろ	ro
ヤ	や	ya
ユ	ゆ	yu
ヨ	よ	yo
ワ	わ	wa
ヰ	ゐ	wyi
ヱ	ゑ	wye
ヲ	を	wo
ピャ	ぴゃ	pya
ピュ	ぴゅ	pyu
ピョ	ぴょ	pyo
チャ	ちゃ	tya
チュ	ちゅ	tyu
チョ	ちょ	tyo
キャ	きゃ	kya
キュ	きゅ	kyu
キョ	きょ	kyo
シャ	しゃ	sya
シュ	しゅ	syu
ショ	しょ	syo
ヒャ	じゃ	hya
ヒュ	ひゅ	hyu
ヒョ	ひょ	hyo
ビャ	びゃ	bya
ビュ	びゅ	byu
ビョ	びょ	byo
ギャ	ぎゃ	gya
ギュ	ぎゅ	gyu
ギョ	ぎょ	gyo
ジャ	じゃ	zya
ジュ	じゅ	zyu
ジョ	じょ	zyo
ミャ	みゃ	mya
ミュ	みゅ	myu
ミョ	みょ	myo
ニャ	にゃ	nya
ニュ	にゅ	nyu
ニョ	にょ	nyo
リャ	りゃ	rya
リュ	りゅ	ryu
リョ	りょ	ryo
ン	ん	nn
ー	ー	-
ッ	っ	xtu
シェ	しぃ	she
チェ	ちぇ	che
ツァ	つぁ	tsa
ツェ	つぃ	tsi
ツォ	つぉ	tso
ティ	てぃ	texi
ファ	ふぁ	fuxa
フィ	ふぃ	fuxi
フェ	ふぇ	fuxe
フォ	ふぉ	fuxo
ジェ	じぇ	je
ディ	でぃ	dexi
デュ	ぢゅ	dyu
イェ	いぇ	ixe
ウィ	うぃ	uxi
ウェ	うぇ	uxe
ウォ	うぉ	uxo
クァ	くぁ	kwa
クィ	くぃ	kwi
クェ	くぇ	kwe
クォ	くぉ	kwo
ツィ	つぃ	tsi
トゥ	とぅ	twu
グァ	ぐぁ	gwa
ドゥ	どぅ	dwu
ヴァ	ゔぁ	va
ヴィ	ゔぃ	vi
ヴ	ゔ	vu
ヴェ	ゔぇ	ve
ヴォ	ゔぉ	vo
テュ	てゅ	texyu
フュ	ふゅ	fyu
ヴュ	ゔゅ	vyu
